% Title: Andy vs Luke
%
@RELATION text

@ATTRIBUTE avgLettersPerWord		NUMERIC
@ATTRIBUTE avgConsonantsPerWord		NUMERIC
@ATTRIBUTE avgVowelsPerWord		NUMERIC
@ATTRIBUTE avgWordsPerSentence		NUMERIC
@ATTRIBUTE avgConsonantsPerSentence	NUMERIC
@ATTRIBUTE avgVowelsPerSentence		NUMERIC
@ATTRIBUTE mostCommonWord		string
@ATTRIBUTE totalWordCount		NUMERIC
@ATTRIBUTE numberDifferentWords		NUMERIC
@ATTRIBUTE source			{abraham, arthur_doyle, charles_darwin, charles_dickens, frank_baum, grimm, herman_melville, jane_austen, laura_hope, lewis_carroll, mark_twain, oscar_wilde, walt_whitman}

@DATA
4.22335,2.1370559,2.0812182,25.375,46.125,36.0,have,197,115,abraham
4.801105,2.3701658,2.392265,45.75,91.5,75.25,have,181,106,abraham
4.686636,2.3502305,2.2718894,72.666664,137.0,115.666664,States,217,122,abraham
4.5628414,2.136612,2.1857924,21.11111,39.0,30.333334,mortal,183,134,abraham
4.2723002,2.1361501,2.2394366,16.071428,29.571428,22.928572,were,213,123,abraham
4.9158416,2.3861387,2.3316832,67.666664,139.0,114.666664,products,202,99,abraham
4.4574466,2.1276596,2.06383,17.90909,32.090908,25.727272,wish,188,108,abraham
4.4039087,2.1563518,2.1140065,21.333334,38.266666,30.6,their,307,158,abraham
4.670391,2.385475,2.1564245,36.4,70.8,57.2,with,179,115,abraham
4.5744047,2.267857,2.2767856,20.647058,38.941177,31.764706,which,336,145,abraham
4.574468,2.2042553,2.268085,24.2,46.3,37.2,sections,235,111,abraham
4.202346,2.058651,2.2082112,29.0,52.0,41.75,should,341,155,abraham
4.5884957,2.2522123,2.3362832,28.875,57.375,45.125,which,226,125,abraham
4.860806,2.3809524,2.3553114,23.583334,47.75,38.333332,government,273,163,abraham
4.9103775,2.3584905,2.3443396,27.25,55.25,44.875,military,212,120,abraham
4.4653463,2.178218,2.2425742,26.0,49.125,39.125,presidential,202,109,abraham
4.793296,2.4581006,2.3631284,36.4,75.0,61.8,have,179,105,abraham
4.9033613,2.4369748,2.302521,30.5,61.75,50.625,immigrants,238,150,abraham
4.617801,2.209424,2.1675394,21.88889,41.333332,32.88889,might,191,131,abraham
4.9042554,2.3670213,2.3829787,24.25,49.125,39.25,national,188,106,abraham
4.6007066,2.2756183,2.2261484,26.545454,50.090908,41.18182,will,283,153,abraham
4.623318,2.309417,2.2780268,28.625,55.5,45.125,Union,223,142,abraham
4.5347223,2.2199075,2.2175925,23.631578,43.263157,35.157894,States,432,237,abraham
4.7802196,2.3736265,2.2884614,14.923077,28.846153,23.538462,would,364,197,abraham
4.4054055,2.264865,2.091892,19.3,35.0,27.6,they,185,121,abraham
5.278481,2.550633,2.443038,158.0,336.0,276.0,States,158,81,abraham
4.478261,2.2560387,2.2125604,23.777779,45.333332,36.333332,will,207,125,abraham
4.5482545,2.2299795,2.1704311,16.64516,30.483871,24.35484,hundred,487,228,abraham
4.40566,2.1556604,2.1792452,20.09091,36.81818,29.09091,they,212,138,abraham
4.5975857,2.3420522,2.2997987,25.75,49.25,40.65,general,497,228,abraham
4.4622355,2.265861,2.1782477,18.31579,33.94737,27.31579,evil,331,183,abraham
4.4561405,2.2105262,2.2017543,21.545454,40.363636,32.18182,would,228,131,abraham
4.6666665,2.314554,2.2441316,31.285715,61.714287,47.857143,which,426,249,abraham
4.6453204,2.231527,2.2512314,19.272728,36.18182,30.0,notes,203,114,abraham
4.2261486,2.2226148,2.1201413,24.416666,44.75,35.5,Kent,283,142,abraham
4.384906,2.2452831,2.1433961,22.916666,42.083332,35.0,tonnage,265,146,abraham
4.68797,2.2631578,2.2857144,30.333334,59.0,45.444443,thousand,266,115,abraham
4.6359224,2.2912621,2.1844661,26.5,50.125,40.875,which,206,126,abraham
4.453287,2.2941177,2.2076125,27.09091,51.727272,41.0,with,289,178,abraham
4.5013776,2.2451792,2.1873279,21.055555,39.38889,31.444445,which,363,194,abraham
4.518987,2.2447257,2.2405064,15.6875,29.8125,23.375,shall,237,142,abraham
4.7969923,2.3646617,2.2781954,25.0,49.454544,40.18182,would,266,149,abraham
4.163488,2.0980926,2.092643,14.035714,23.714285,19.321428,have,367,218,abraham
4.5589743,2.2666667,2.1538463,18.636364,35.0,27.454546,have,195,128,abraham
4.316279,2.1581395,2.144186,24.666666,44.444443,35.333332,speeches,215,120,abraham
4.2356687,2.1146498,2.098726,19.352942,33.941177,26.588236,they,314,165,abraham
4.756757,2.3837838,2.2810812,27.142857,53.857143,43.57143,they,185,111,abraham
5.2288136,2.542373,2.411017,22.272728,46.727272,38.18182,between,236,155,abraham
5.0681005,2.5519714,2.4623656,40.57143,87.57143,72.14286,States,279,151,abraham
4.4950495,2.2623763,2.2772276,23.222221,44.88889,35.0,district,202,114,abraham
4.38796,2.1672242,2.1839464,43.42857,80.85714,64.14286,public,299,184,abraham
4.440806,2.186398,2.186398,24.235294,44.411766,35.17647,which,397,222,abraham
4.9551725,2.5068965,2.3965516,290.0,627.0,499.0,shall,290,145,abraham
4.2008195,2.0983605,2.069672,23.0,41.090908,32.090908,young,244,153,abraham
3.7843137,1.9433551,1.9368192,20.869566,34.217392,26.26087,fight,459,193,abraham
4.4640884,2.2486188,2.165746,26.571428,49.714287,41.0,hundred,181,105,abraham
4.8036175,2.4521964,2.2868216,19.380953,38.38095,30.619047,constitutionality,387,203,abraham
4.359636,2.1805766,2.15478,23.655172,42.172413,35.03448,they,659,275,abraham
4.6062174,2.3212435,2.2487047,20.2,38.55,31.15,Cass,386,201,abraham
5.116402,2.6084657,2.3862433,27.714285,53.142857,47.142857,shall,189,129,abraham
4.45977,2.2344828,2.1862068,16.464285,30.535715,24.178572,principle,435,230,abraham
4.3255816,2.204651,2.2069767,23.526316,43.05263,34.789474,have,430,225,abraham
4.637138,2.2816582,2.2413402,26.867647,51.117645,41.39706,Louisiana,1761,645,abraham
4.480159,2.1746032,2.2936509,26.0,48.2,40.7,them,252,134,abraham
4.374582,2.103679,2.1438127,20.8,37.266666,29.466667,shall,299,171,abraham
4.5902257,2.31203,2.2706766,34.0,66.125,54.0,became,266,156,abraham
4.135135,2.111969,2.1389961,24.363636,43.363636,34.81818,they,259,150,abraham
3.9170125,2.0290456,1.9170125,20.916666,35.25,26.5,Cass,241,142,abraham
4.847826,2.3315217,2.2934783,19.3,37.6,30.8,Congress,184,111,abraham
4.073469,2.1061225,2.0653062,19.692308,34.23077,26.76923,time,245,151,abraham
4.340909,2.2323232,2.1565657,25.625,46.6875,37.5,have,396,210,abraham
4.547414,2.2198277,2.237069,29.75,55.625,45.875,distinction,232,133,abraham
4.021053,2.0526316,2.0175438,16.722221,28.333334,21.944445,have,285,157,abraham
4.4727273,2.1704545,2.1931818,22.9,41.45,33.95,people,440,200,abraham
4.4411216,2.2672896,2.1906543,18.766666,34.833332,27.466667,would,535,244,abraham
4.6682925,2.2780488,2.2487805,21.3,41.4,32.3,from,205,133,abraham
4.8849206,2.3849206,2.2738094,28.777779,56.555557,46.444443,were,252,151,abraham
4.5255814,2.3302326,2.227907,54.25,105.5,83.75,such,215,102,abraham
4.535533,2.2614212,2.2411168,29.0,55.714287,44.714287,public,394,221,abraham
4.204473,2.1373801,2.1629393,20.4375,36.6875,28.6875,States,313,165,abraham
4.759214,2.3636363,2.2727273,37.81818,74.181816,60.545456,slaves,407,217,abraham
4.6755557,2.297778,2.2133334,21.272728,40.454544,32.636364,carried,225,147,abraham
4.246377,2.1207728,2.0048308,19.636364,34.18182,26.90909,three,207,132,abraham
4.768116,2.2934783,2.2971015,56.0,109.4,87.6,which,276,171,abraham
4.1328545,2.08079,2.0,18.903225,32.903225,24.838709,then,557,250,abraham
4.4988713,2.241535,2.2370203,25.5,48.444443,38.444443,which,443,265,abraham
4.412088,2.2142856,2.2637362,17.363636,32.727272,26.636364,interest,182,107,abraham
3.6515958,1.8776596,1.9521277,25.933332,42.0,31.333334,will,376,158,abraham
4.6811023,2.2519686,2.2992127,37.0,71.28571,58.42857,with,254,152,abraham
3.911197,2.050193,2.0,33.125,57.875,44.0,them,259,154,abraham
4.5480227,2.322034,2.1581922,26.0,49.42857,38.714287,States,177,114,abraham
4.452273,2.2386363,2.2,34.692307,65.38461,51.153847,said,440,188,abraham
4.5974574,2.2754238,2.292373,40.0,77.666664,62.333332,their,236,139,abraham
3.8006873,1.9381443,1.9965636,19.0625,30.6875,24.3125,will,291,146,abraham
3.662745,1.9215686,1.882353,29.11111,46.333332,36.11111,hundred,255,122,abraham
4.7272725,2.338384,2.2727273,20.6,40.1,32.0,their,198,121,abraham
4.371191,2.1828256,2.196676,33.727272,63.363636,48.81818,which,361,193,abraham
4.449541,2.2247705,2.2247705,19.083334,35.25,27.833334,public,218,141,abraham
4.276515,2.1477273,2.0833333,15.611111,27.777779,22.0,have,264,156,abraham
4.474886,2.2283106,2.1780822,20.818182,39.090908,31.09091,statesman,219,139,abraham
4.373444,2.2012448,2.1390042,21.0,37.75,30.083334,elected,482,208,abraham
4.504651,2.2604651,2.1930232,22.4,42.7,33.35,most,430,230,abraham
4.5700483,2.3429952,2.1980677,18.083334,34.916668,27.833334,ever,207,136,abraham
4.5669293,2.297244,2.202756,24.0,46.045456,35.863636,which,508,271,abraham
5.0164385,2.4410958,2.369863,22.411764,44.588234,37.0,question,365,189,abraham
4.5434785,2.2934783,2.1992753,19.266666,37.0,28.933332,Missouri,276,153,abraham
4.5670886,2.2886076,2.2202532,24.17647,45.35294,38.0,slavery,395,234,abraham
4.888889,2.4,2.3079364,16.7,33.35,26.2,must,315,188,abraham
4.6648936,2.2606382,2.2712767,21.666666,42.555557,32.77778,shall,188,127,abraham
4.184127,2.0063493,2.120635,21.866667,38.2,30.133333,have,315,159,abraham
3.8226602,1.9852216,2.0147784,21.1,35.8,27.2,hear,203,119,abraham
5.1756096,2.4731708,2.492683,21.3,44.0,37.2,then,205,125,abraham
4.644144,2.3243244,2.1936936,37.666668,73.0,57.666668,slavery,222,136,abraham
4.857422,2.3867188,2.296875,19.214285,36.857143,30.5,slavery,512,244,abraham
4.6188927,2.3811076,2.2508144,35.0,68.77778,55.333332,Union,307,162,abraham
4.369942,2.1965318,2.182081,21.235294,38.294117,31.17647,some,346,180,abraham
4.865517,2.3517241,2.3689656,25.0,50.25,40.0,slavery,290,169,abraham
4.653631,2.3575418,2.24581,45.25,90.0,71.25,which,179,118,abraham
4.777228,2.3564355,2.3415842,21.0,40.1,34.4,bill,202,128,abraham
4.1626506,2.1385543,2.0331326,18.368422,32.526318,24.894737,them,332,175,abraham
4.9739776,2.4721189,2.3754647,39.142857,81.14286,66.71429,when,269,165,abraham
4.3469944,2.215847,2.1530054,21.222221,38.77778,31.222221,principle,366,165,abraham
4.585859,2.3181818,2.2272727,29.0,54.714287,45.714287,Missouri,198,113,abraham
4.421875,2.265625,2.2239583,18.272728,34.090908,27.454546,they,192,114,abraham
4.5196376,2.2356496,2.1963747,20.352942,38.0,30.470589,part,331,176,abraham
4.5923915,2.2934783,2.2445652,17.545454,33.18182,27.0,will,184,112,abraham
4.3054395,2.2719665,2.1548116,17.928572,32.92857,26.857143,vote,239,141,abraham
4.5027323,2.2185793,2.2568307,26.857143,50.57143,42.285713,they,183,118,abraham
4.2708335,2.1180556,2.125,20.066668,36.0,27.4,wild,288,161,abraham
4.139535,2.1162791,2.013289,24.0,42.46154,33.0,government,301,146,abraham
4.498845,2.2748268,2.256351,22.55,40.9,35.75,South,433,179,abraham
4.218978,2.1386862,2.160584,20.428572,35.857143,30.214285,they,274,147,abraham
4.4965277,2.2638888,2.2465277,18.875,34.8125,28.8125,will,288,153,abraham
4.457547,2.2735848,2.2169812,18.5,34.5,27.833334,they,212,132,abraham
4.8290596,2.3632479,2.2948718,24.2,47.9,38.4,they,234,139,abraham
4.23676,2.1495328,2.1433022,20.9375,37.0,29.6875,Nebraska,321,175,abraham
4.521605,2.2592592,2.1820989,17.947369,34.473682,25.736841,from,324,186,abraham
4.625387,2.25387,2.272446,17.05,31.45,26.05,Illinois,323,176,abraham
4.2579184,2.1674209,2.1085973,22.9,41.8,32.5,great,221,122,abraham
4.3675675,2.1405406,2.1405406,21.333334,38.22222,31.222221,entirely,185,120,abraham
4.079439,2.130841,2.088785,16.142857,27.571428,22.285715,against,214,118,abraham
3.9375,1.9910715,1.9598215,25.666666,41.88889,33.555557,know,224,124,abraham
4.8026905,2.3049328,2.309417,74.666664,147.66667,117.666664,Southern,223,128,abraham
4.177778,2.1222222,2.0962963,39.285713,69.71429,56.0,present,270,152,abraham
4.867647,2.3529413,2.2990196,41.4,84.4,65.8,were,204,128,abraham
4.60559,2.3229814,2.2173913,33.0,63.5,52.0,with,322,185,abraham
4.282528,2.1635687,2.2862453,25.363636,48.636364,37.727272,here,269,143,abraham
4.147059,2.0588236,2.092437,20.5,36.416668,28.166666,they,238,131,abraham
4.296296,2.068783,2.089947,19.833334,34.4,27.733334,violence,567,254,abraham
4.3175545,2.1656804,2.142012,20.423077,36.307693,29.76923,shall,507,265,abraham
4.261494,2.1350574,2.112069,17.47619,30.428572,24.809525,will,348,185,abraham
4.3267326,2.09901,2.0742574,23.222221,40.555557,32.444443,represent,202,122,abraham
4.259563,2.1557376,2.2295082,27.0,48.642857,40.714287,which,366,188,abraham
4.1566267,2.180723,2.11245,28.444445,49.88889,42.333332,free,249,142,abraham
4.3349876,2.1612904,2.1861043,23.277779,42.38889,34.0,will,403,217,abraham
4.5841584,2.3168316,2.2623763,29.571428,56.42857,45.857143,slavery,202,129,abraham
4.4188313,2.2305195,2.211039,26.5,49.25,40.333332,slavery,308,170,abraham
4.430939,2.2486188,2.2265193,23.375,43.25,35.625,time,181,113,abraham
4.7922077,2.3116884,2.3203464,26.444445,52.0,42.444443,slave,231,134,abraham
4.6343117,2.3408577,2.2505643,25.5,47.444443,40.055557,vote,443,239,abraham
4.2,2.1283019,2.1207547,21.23077,37.23077,30.076923,slavery,265,158,abraham
4.0056496,2.019774,2.0310733,18.6,30.75,25.25,they,354,168,abraham
