% Title: Andy vs Luke
%
@RELATION text

@ATTRIBUTE avgLettersPerWord		NUMERIC
@ATTRIBUTE avgConsonantsPerWord		NUMERIC
@ATTRIBUTE avgVowelsPerWord		NUMERIC
@ATTRIBUTE avgWordsPerSentence		NUMERIC
@ATTRIBUTE avgConsonantsPerSentence	NUMERIC
@ATTRIBUTE avgVowelsPerSentence		NUMERIC
@ATTRIBUTE mostCommonWord		string
@ATTRIBUTE totalWordCount		NUMERIC
@ATTRIBUTE numberDifferentWords		NUMERIC
@ATTRIBUTE source			{andy, isaac, twain}

@DATA
4.6923075,2.2747252,2.2234433,15.210526,28.263159,23.210526,Watson,273,171,andy
4.0273037,2.0245733,1.9938567,20.77027,35.054054,27.216217,what,1465,524,andy
4.4699697,2.1966968,2.2117116,16.44186,30.372093,23.906977,clothing,666,290,andy
4.145427,2.0449774,2.0614693,17.625,30.675,23.825,have,667,286,andy
5.187017,2.4853168,2.4868624,17.973684,38.789474,30.710526,likely,647,285,andy
4.2828097,2.133087,2.0748613,17.859375,32.703125,24.609375,family,1082,453,andy
4.6892266,2.288674,2.314917,15.714286,29.387754,25.12245,software,724,314,andy
4.2240963,2.0843372,2.1228917,13.90625,24.21875,18.96875,Sarah,415,220,andy
4.9051723,2.3952746,2.378672,15.553489,30.865116,25.786047,device,3132,919,andy
5.189247,2.5612903,2.4688172,20.9,44.814285,36.7,technology,1395,479,andy
3.9293077,1.994109,1.9867452,23.566668,38.933334,31.2,what,679,303,isaac
4.193396,2.1075473,2.1160378,19.241379,34.689655,26.0,they,1060,390,isaac
4.321678,2.1643357,2.1573427,16.777779,30.88889,23.666666,show,286,170,isaac
4.3935485,2.1870968,2.2,18.0,32.88889,27.0,eReaders,155,104,isaac
4.4839187,2.2083127,2.1712024,20.180952,37.342857,29.514286,discipline,2021,701,isaac
4.0648584,2.053066,2.0660377,21.166666,36.42857,29.119047,have,848,366,isaac
4.701559,2.3340757,2.2917595,19.183674,36.612244,30.12245,pirates,898,460,isaac
4.5227275,2.246212,2.2083333,27.2,51.0,40.7,they,264,155,isaac
4.3664227,2.1811528,2.1235132,21.194445,38.805557,30.157408,their,2186,737,isaac
3.809064,1.981055,1.9119613,18.926666,30.94,23.5,with,2692,717,isaac
3.6485565,1.8803765,1.8483273,20.205336,31.722395,23.55459,they,61936,5008,twain
3.6387756,1.8734694,1.8428571,21.38889,33.52778,24.958334,about,1470,461,twain
3.582777,1.8444593,1.8411216,21.49315,33.79452,25.0,said,1498,472,twain
3.55625,1.8210527,1.818421,16.119404,24.646767,18.298508,they,3040,727,twain
3.6509032,1.8640394,1.8541873,20.375795,32.152866,23.732485,there,3045,840,twain
3.6219397,1.8502824,1.8356874,19.622807,30.298246,22.754387,there,2124,621,twain
3.411111,1.7858025,1.8117284,12.904411,19.154411,14.455882,talk,1620,521,twain
3.5324473,1.8240813,1.7912432,20.218044,31.165413,22.7594,didn,2558,664,twain
3.5218353,1.805141,1.828911,17.663595,27.0,20.041475,says,3618,859,twain
3.7649093,1.9299914,1.8974359,20.822857,33.57143,25.102858,with,3471,920,twain
3.6386049,1.882742,1.8681098,21.359184,33.84898,25.093878,Buck,4989,1092,twain
3.7593813,1.9048983,1.9023203,26.107914,42.330936,31.575539,they,3491,947,twain
3.6432583,1.8932585,1.8780097,18.29861,28.840279,21.5,they,2492,685,twain
3.8162823,1.941384,1.9557667,24.4586,40.292995,30.32484,said,3685,991,twain
3.6587706,1.8826847,1.8522278,22.609756,35.890244,26.5,said,1773,503,twain
3.5127673,1.8295376,1.8164251,16.569893,25.344086,18.946236,said,1449,481,twain
3.4837236,1.7904055,1.8360937,17.657143,27.266666,20.028572,said,1751,507,twain
3.5691214,1.8601421,1.8346254,23.266188,36.776978,26.827337,said,3096,741,twain
3.6137831,1.8366834,1.8226849,21.477942,33.507355,24.867647,down,2786,682,twain
3.4853468,1.7796754,1.782627,17.404844,26.211073,19.33564,Well,4743,1026,twain
3.7167768,1.8983765,1.901383,23.445946,37.2973,28.68919,there,1663,557,twain
